examine,id,metadata.examine,metadata.highalch,metadata.icon,metadata.id,metadata.limit,metadata.lowalch,metadata.members,metadata.name,metadata.value,name,price,price.high,price.highTime,price.low,price.lowTime,roi
A heavy wooden frame.,19589,A heavy wooden frame.,30000,Heavy frame.png,19589,8,20000,True,Heavy frame,50000,Heavy frame,,199000,1760546227,170000,1760560562,0.17058823529411765
A gift from Neitiznot's Burgher.,10828,A gift from Neitiznot's Burgher.,30000,Helm of neitiznot.png,10828,70,20000,True,Helm of neitiznot,50000,Helm of neitiznot,,51976,1760563470,49951,1760563464,0.040539728934355666
Some nicely cooked herring.,347,Some nicely cooked herring.,6,Herring.png,347,6000,4,False,Herring,10,Herring,,65,1760562575,55,1760562399,0.18181818181818182
Your money or your life!,2631,Your money or your life!,24,Highwayman mask.png,2631,4,16,True,Highwayman mask,40,Highwayman mask,,66523,1760523324,38832,1760562063,0.7130974454058508
A brutal weapon popular among giants.,20756,A brutal weapon popular among giants.,36000,Hill giant club.png,20756,125,24000,False,Hill giant club,60000,Hill giant club,,1185160,1760562278,1120167,1760558053,0.05802081296806637
The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men.,20220,The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men.,48,Holy blessing.png,20220,5,32,True,Holy blessing,80,Holy blessing,,14871,1760563335,11500,1760563403,0.2931304347826087
A set containing the four pages of Saradomin's Holy Book.,13149,A set containing the four pages of Saradomin's Holy Book.,4200,Holy book page set.png,13149,5,2800,True,Holy book page set,7000,Holy book page set,,17554,1760562693,15000,1760543407,0.17026666666666668
A bottle of holy elixir.,12833,A bottle of holy elixir.,450000,Holy elixir.png,12833,5,300000,True,Holy elixir,750000,Holy elixir,,613009,1760417449,615200,1760561755,-0.003561443433029909
Used to make holy symbols of Saradomin.,1599,Used to make holy symbols of Saradomin.,3,Holy mould.png,1599,40,2,False,Holy mould,5,Holy mould,,14,1760558168,15,1760559595,-0.06666666666666667
Holy footwear!,12598,Holy footwear!,1200,Holy sandals.png,12598,4,800,True,Holy sandals,2000,Holy sandals,,799999,1760562539,715675,1760562014,0.1178244314807699
A blessed holy symbol of Saradomin.,1718,A blessed holy symbol of Saradomin.,180,Holy symbol.png,1718,125,120,False,Holy symbol,300,Holy symbol,,534,1760563490,560,1760561805,-0.04642857142857143
Holy handwear!,19997,Holy handwear!,5760,Holy wraps.png,19997,4,3840,True,Holy wraps,9600,Holy wraps,,824225,1760561655,816000,1760562556,0.010079656862745099
Law is not law if it violates the principles of eternal justice.,20229,Law is not law if it violates the principles of eternal justice.,48,Honourable blessing.png,20229,5,32,True,Honourable blessing,80,Honourable blessing,,2748,1760563186,1175,1760563164,1.338723404255319
A dark power is woven into this hood.,20128,A dark power is woven into this hood.,6000,Hood of darkness.png,20128,70,4000,True,Hood of darkness,10000,Hood of darkness,,9082,1760561139,8000,1760559274,0.13525
A banner made of redwood baring the sigil of House Hosidius.,20254,A banner made of redwood baring the sigil of House Hosidius.,42,Hosidius banner.png,20254,4,28,True,Hosidius banner,70,Hosidius banner,,91000,1760562706,1600,1760558193,55.875
A rare hood from Hosidius.,20116,A rare hood from Hosidius.,1,Hosidius hood.png,20116,4,1,True,Hosidius hood,1,Hosidius hood,,2959,1760544557,3005,1760563326,-0.015307820299500832
A green scarf adorned with an ornamental leaf.,19946,A green scarf adorned with an ornamental leaf.,6000,Hosidius scarf.png,19946,4,4000,True,Hosidius scarf,10000,Hosidius scarf,,8000,1760545622,5252,1760562155,0.5232292460015232
A powerful herb.,30097,A powerful herb.,45,Huasca.png,30097,,30,True,Huasca,75,Huasca,,8150,1760557758,9205,1760560486,-0.11461162411732755
I need another ingredient to finish this Huasca potion.,30100,I need another ingredient to finish this Huasca potion.,15,Huasca potion (unf).png,30100,10000,10,True,Huasca potion (unf),25,Huasca potion (unf),,9078,1760561480,9078,1760561477,0.0
A huasca seed - plant in a herb patch.,30088,A huasca seed - plant in a herb patch.,42,Huasca seed 5.png,30088,200,28,True,Huasca seed,70,Huasca seed,,62000,1760562550,60390,1760563459,0.026660043053485676
Quite mesmerising to look at.,30085,Quite mesmerising to look at.,66,Hueycoatl hide.png,30085,,44,True,Hueycoatl hide,110,Hueycoatl hide,,357666,1760558941,338132,1760559370,0.05777033821111282
"A set containing a Hueycoatl hide coif, Hueycoatl hide body, Hueycoatl hide chaps and Hueycoatl hide vambraces.",31169,"A set containing a Hueycoatl hide coif, Hueycoatl hide body, Hueycoatl hide chaps and Hueycoatl hide vambraces.",,Hueycoatl hide armour set.png,31169,,,True,Hueycoatl hide armour set,,Hueycoatl hide armour set,,3200000,1760538577,2918750,1760532137,0.09635974304068523
Made from real Huey hide!,30076,Made from real Huey hide!,8088,Hueycoatl hide body.png,30076,,5392,True,Hueycoatl hide body,13480,Hueycoatl hide body,,990790,1760563463,978804,1760563130,0.012245556822407754
Made from real Huey hide!,30079,Made from real Huey hide!,3732,Hueycoatl hide chaps.png,30079,,2488,True,Hueycoatl hide chaps,6220,Hueycoatl hide chaps,,649538,1760563476,630003,1760563411,0.03100778885179912
Made from real Huey hide!,30073,Made from real Huey hide!,1200,Hueycoatl hide coif.png,30073,,800,True,Hueycoatl hide coif,2000,Hueycoatl hide coif,,702999,1760562824,680810,1760562836,0.0325920594585861
Made from real Huey hide!,30082,Made from real Huey hide!,2592,Hueycoatl hide vambraces.png,30082,,1728,True,Hueycoatl hide vambraces,4320,Hueycoatl hide vambraces,,329999,1760563475,318551,1760563109,0.035937730536083706
1 dose of Hunter potion.,10004,1 dose of Hunter potion.,3,Hunter potion(1).png,10004,2000,2,True,Hunter potion(1),6,Hunter potion(1),,1015,1760554860,600,1760534034,0.6916666666666667
2 doses of Hunter potion.,10002,2 doses of Hunter potion.,5,Hunter potion(2).png,10002,2000,3,True,Hunter potion(2),9,Hunter potion(2),,1093,1760548247,1090,1760562875,0.0027522935779816515
3 doses of Hunter potion.,10000,3 doses of Hunter potion.,7,Hunter potion(3).png,10000,2000,4,True,Hunter potion(3),12,Hunter potion(3),,1794,1760562605,1750,1760557827,0.025142857142857144
4 doses of Hunter potion.,9998,4 doses of Hunter potion.,9,Hunter potion(4).png,9998,2000,6,True,Hunter potion(4),15,Hunter potion(4),,2856,1760562905,2653,1760563243,0.07651715039577836
I can make some spears with these.,29311,I can make some spears with these.,3,Hunter spear tips 5.png,29311,10000,2,True,Hunter spear tips,6,Hunter spear tips,,2,1760563399,2,1760563376,0.0
Throw it... Or don't.,29305,Throw it... Or don't.,210,Hunter's spear.png,29305,,140,True,Hunter's spear,350,Hunter's spear,,142,1760563393,78,1760558676,0.8205128205128205
A weapon made of bone and wood.,10156,A weapon made of bone and wood.,780,Hunters' crossbow.png,10156,70,520,True,Hunters' crossbow,1300,Hunters' crossbow,,2961,1760563143,1605,1760557854,0.8448598130841122
A weapon made of horn and bone.,28869,A weapon made of horn and bone.,780,Hunters' sunlight crossbow.png,28869,70,520,True,Hunters' sunlight crossbow,1300,Hunters' sunlight crossbow,,4716,1760563378,1115,1760563260,3.2295964125560537
One dose of fishy Hunter potion.,11519,One dose of fishy Hunter potion.,3,Hunting mix(1).png,11519,2000,2,True,Hunting mix(1),6,Hunting mix(1),,151,1760306646,1000,1758474831,-0.849
Two doses of fishy Hunter potion.,11517,Two doses of fishy Hunter potion.,5,Hunting mix(2).png,11517,2000,3,True,Hunting mix(2),9,Hunting mix(2),,771,1760561201,771,1760390135,0.0
The bones of a hydra.,22786,The bones of a hydra.,96,Hydra bones.png,22786,7500,64,True,Hydra bones,160,Hydra bones,,8755,1760562697,8570,1760563461,0.021586931155192533
Hide from a ferocious Hydra. It looks pretty tough.,22983,Hide from a ferocious Hydra. It looks pretty tough.,60000,Hydra leather.png,22983,15,40000,True,Hydra leather,100000,Hydra leather,,11883723,1760562826,11581494,1760563276,0.026095856026864928
"Tail of a hydra, can be attached to a bonecrusher.",22988,"Tail of a hydra, can be attached to a bonecrusher.",60000,Hydra tail.png,22988,15,40000,True,Hydra tail,100000,Hydra tail,,101539,1760563455,70000,1760562372,0.4505571428571429
The claw of a ferocious hydra.,22966,The claw of a ferocious hydra.,90000,Hydra's claw.png,22966,15,60000,True,Hydra's claw,150000,Hydra's claw,,59999996,1760501106,55676656,1760562578,0.07765085604279108
A missing piece from a magical staff.,30628,A missing piece from a magical staff.,1,Ice element staff crown.png,30628,8,1,True,Ice element staff crown,1,Ice element staff crown,,3024421,1760559166,2944391,1760563319,0.027180493351596308
A teleport to the Ice Plateau in level 53 Wilderness.,24963,A teleport to the Ice Plateau in level 53 Wilderness.,1,Ice plateau teleport (tablet).png,24963,10000,1,True,Ice plateau teleport (tablet),1,Ice plateau teleport (tablet),,1291,1760563488,1134,1760563263,0.1384479717813051
The crushed rock seems to glow and is cold to the touch.,22599,The crushed rock seems to glow and is cold to the touch.,54,Icy basalt.png,22599,10000,36,True,Icy basalt,90,Icy basalt,,1021,1760563480,965,1760563070,0.058031088082901555
This heart holds a magical power within.,20724,This heart holds a magical power within.,300000,Imbued heart.png,20724,8,200000,True,Imbued heart,500000,Imbued heart,,100000000,1760559510,98749841,1760560285,0.012659858358658016
A little too small to stuff full of tar.,28831,A little too small to stuff full of tar.,120,Immature tecu salamander.png,28831,,80,True,Immature tecu salamander,200,Immature tecu salamander,,126,1760518920,840,1760562688,-0.85
What mischief can I get up to with this?,12249,What mischief can I get up to with this?,1200,Imp mask.png,12249,4,800,True,Imp mask,2000,Imp mask,,19999,1760467627,8696,1760561650,1.2997930082796687
A complex and herby Tempestus Rosé that's famously served at the College of Bards.,29966,A complex and herby Tempestus Rosé that's famously served at the College of Bards.,240,Imperial rosé.png,29966,,160,True,Imperial rosé,400,Imperial rosé,,300,1760455474,69,1760268221,3.347826086956522
It's got little holes in the top.,11260,It's got little holes in the top.,1,Impling jar.png,11260,13000,1,True,Impling jar,1,Impling jar,,606,1760563309,586,1760563485,0.034129692832764506
The limbs have been attached to the frame.,19598,The limbs have been attached to the frame.,30000,Incomplete heavy ballista.png,19598,8,20000,True,Incomplete heavy ballista,50000,Incomplete heavy ballista,,89279,1758766144,183061,1760311973,-0.5122991789622039
The limbs have been attached to the frame.,19595,The limbs have been attached to the frame.,30000,Incomplete light ballista.png,19595,8,20000,True,Incomplete light ballista,50000,Incomplete light ballista,,36000,1760386636,35000,1759979569,0.02857142857142857
A heap of ashes.,25778,A heap of ashes.,1,Infernal ashes.png,25778,7500,1,True,Infernal ashes,1,Infernal ashes,,2627,1760561956,2512,1760563454,0.04578025477707006
"Metal from infernus, waiting to be shaped at an anvil.",30864,"Metal from infernus, waiting to be shaped at an anvil.",12,Infernal plate 1.png,30864,,8,True,Infernal plate,20,Infernal plate,,9600000,1760241395,10000000,1760391174,-0.04
Mystical boots.,6920,Mystical boots.,7200,Infinity boots.png,6920,125,4800,True,Infinity boots,12000,Infinity boots,,343726,1760563444,267000,1760562815,0.2873632958801498
Mystical robes.,6924,Mystical robes.,54000,Infinity bottoms.png,6924,125,36000,True,Infinity bottoms,90000,Infinity bottoms,,1918222,1760562349,1810855,1760562888,0.05929077700865061
Mystical gloves.,6922,Mystical gloves.,7200,Infinity gloves.png,6922,125,4800,True,Infinity gloves,12000,Infinity gloves,,895000,1760563048,870033,1760562768,0.028696612657221048
A mystic hat.,6918,A mystic hat.,10200,Infinity hat.png,6918,125,6800,True,Infinity hat,17000,Infinity hat,,1898999,1760561237,1789999,1760562886,0.060893888767535626
Mystical robes.,6916,Mystical robes.,84000,Infinity top.png,6916,125,56000,True,Infinity top,140000,Infinity top,,1379315,1760562488,1369000,1760562900,0.007534696859021184
An initiate Temple Knight's leg armour.,5576,An initiate Temple Knight's leg armour.,4800,Initiate cuisse.png,5576,125,3200,True,Initiate cuisse,8000,Initiate cuisse,,7100,1760563001,5811,1760562811,0.22182068490793322
Initiate level armour pack.,9668,Initiate level armour pack.,12000,Initiate harness m.png,9668,70,8000,True,Initiate harness m,20000,Initiate harness m,,22500,1760563178,20000,1760484778,0.125
An initiate Temple Knight's Armour.,5575,An initiate Temple Knight's Armour.,6000,Initiate hauberk.png,5575,125,4000,True,Initiate hauberk,10000,Initiate hauberk,,8500,1760562991,6210,1760562806,0.3687600644122383
An initiate Temple Knight's helm.,5574,An initiate Temple Knight's helm.,3600,Initiate sallet.png,5574,125,2400,True,Initiate sallet,6000,Initiate sallet,,3880,1760562763,3004,1760563347,0.29161118508655126
It eases diseases!,11088,It eases diseases!,1536,Inoculation bracelet.png,11088,10000,1024,True,Inoculation bracelet,2560,Inoculation bracelet,,1380,1760561681,1300,1760560803,0.06153846153846154
"A set containing an Inquisitor's great helm, Inquisitor's hauberk and Inquisitor's plateskirt.",24488,"A set containing an Inquisitor's great helm, Inquisitor's hauberk and Inquisitor's plateskirt.",1,Inquisitor's armour set.png,24488,,1,True,Inquisitor's armour set,1,Inquisitor's armour set,,121250068,1760561153,118144189,1760562816,0.026288885016596118
The great helmet of the turncloak Justiciar.,24419,The great helmet of the turncloak Justiciar.,300000,Inquisitor's great helm.png,24419,8,200000,True,Inquisitor's great helm,500000,Inquisitor's great helm,,22901270,1760560992,21810734,1760562649,0.04999996790571101
The hauberk of the turncloak Justiciar.,24420,The hauberk of the turncloak Justiciar.,600000,Inquisitor's hauberk.png,24420,8,400000,True,Inquisitor's hauberk,1000000,Inquisitor's hauberk,,44481737,1760561837,42835944,1760562177,0.03842084115153386
A powerful mace once wielded by the turncloak Justiciar.,24417,A powerful mace once wielded by the turncloak Justiciar.,3000000,Inquisitor's mace.png,24417,8,2000000,True,Inquisitor's mace,5000000,Inquisitor's mace,,176944444,1760559903,173472917,1760562604,0.020011924973856295
The plateskirt of the turncloak Justiciar.,24421,The plateskirt of the turncloak Justiciar.,450000,Inquisitor's plateskirt.png,24421,8,300000,True,Inquisitor's plateskirt,750000,Inquisitor's plateskirt,,55792844,1760561857,54038176,1760562181,0.03247089613091308
Drives away all known 6 legged creatures.,28,Drives away all known 6 legged creatures.,1,Insect repellent.png,28,15,1,True,Insect repellent,3,Insect repellent,,532,1760561619,240,1760561010,1.2166666666666666
They're heavily insulated wellies.,7159,They're heavily insulated wellies.,120,Insulated boots.png,7159,70,80,True,Insulated boots,200,Insulated boots,,800,1760563396,500,1760562304,0.6
Teleports you to the Iorwerth Camp.,12410,Teleports you to the Iorwerth Camp.,6,Iorwerth camp teleport.png,12410,10000,4,True,Iorwerth camp teleport,10,Iorwerth camp teleport,,2974,1760563476,2919,1760563385,0.01884206920178143
A useful herb.,259,A useful herb.,24,Irit leaf.png,259,13000,16,True,Irit leaf,40,Irit leaf,,2000,1760563254,1950,1760563260,0.02564102564102564
I need another ingredient to finish this Irit potion.,101,I need another ingredient to finish this Irit potion.,24,Irit potion (unf).png,101,10000,16,True,Irit potion (unf),40,Irit potion (unf),,2350,1760563361,2109,1760562192,0.11427216690374585
An irit seed - plant in a herb patch.,5297,An irit seed - plant in a herb patch.,3,Irit seed 5.png,5297,600,2,True,Irit seed,5,Irit seed,,103,1760562918,100,1760563421,0.03
"A dark, thick, foul-smelling, tar-like substance.",28837,"A dark, thick, foul-smelling, tar-like substance.",1,Irit tar.png,28837,11000,1,True,Irit tar,1,Irit tar,,10,1760561571,9,1760563078,0.1111111111111111
A two handed sword.,1309,A two handed sword.,168,Iron 2h sword.png,1309,125,112,False,Iron 2h sword,280,Iron 2h sword,,212,1760563134,150,1760563068,0.41333333333333333
Arrows with iron heads.,884,Arrows with iron heads.,1,Iron arrow 5.png,884,7000,1,False,Iron arrow,3,Iron arrow,,8,1760563138,8,1760563296,0.0
Venomous-looking arrows.,885,Venomous-looking arrows.,1,Iron arrow(p) 5.png,885,7000,1,True,Iron arrow(p),3,Iron arrow(p),,52,1760299177,52,1760330733,0.0
Venomous-looking arrows.,5617,Venomous-looking arrows.,1,Iron arrow(p+) 5.png,5617,7000,1,True,Iron arrow(p+),3,Iron arrow(p+),,30,1759985207,105,1760404936,-0.7142857142857143
Venomous-looking arrows.,5623,Venomous-looking arrows.,1,Iron arrow(p++) 5.png,5623,7000,1,True,Iron arrow(p++),3,Iron arrow(p++),,500,1760404685,200,1760518221,1.5
I can make some arrows with these.,40,I can make some arrows with these.,1,Iron arrowtips.png,40,10000,1,True,Iron arrowtips,2,Iron arrowtips,,14,1760563445,13,1760563419,0.07692307692307693
A woodcutter's axe.,1349,A woodcutter's axe.,33,Iron axe.png,1349,40,22,False,Iron axe,56,Iron axe,,100,1760563425,49,1760563097,1.0408163265306123
It's a bar of iron.,2351,It's a bar of iron.,16,Iron bar.png,2351,10000,11,False,Iron bar,28,Iron bar,,240,1760563477,240,1760563429,0.0
A vicious looking axe.,1363,A vicious looking axe.,109,Iron battleaxe.png,1363,125,72,False,Iron battleaxe,182,Iron battleaxe,,27,1760559912,30,1760561811,-0.1
Iron crossbow bolts.,9140,Iron crossbow bolts.,1,Iron bolts 5.png,9140,7000,1,True,Iron bolts,2,Iron bolts,,15,1760562214,6,1760562518,1.5
Some poisoned iron bolts.,9287,Some poisoned iron bolts.,1,Iron bolts (p) 5.png,9287,11000,1,True,Iron bolts (p),2,Iron bolts (p),,215,1760545139,90000,1760449051,-0.9976111111111111
Some poisoned iron bolts.,9294,Some poisoned iron bolts.,1,Iron bolts (p+) 5.png,9294,11000,1,True,Iron bolts (p+),2,Iron bolts (p+),,338,1759774404,338,1755529214,0.0
Super poisoned iron bolts.,9301,Super poisoned iron bolts.,1,Iron bolts (p++) 5.png,9301,11000,1,True,Iron bolts (p++),2,Iron bolts (p++),,10,1760425735,1429,1758063029,-0.9930020993701889
Unfeathered iron crossbow bolts.,9377,Unfeathered iron crossbow bolts.,1,Iron bolts (unf) 5.png,9377,13000,1,True,Iron bolts (unf),1,Iron bolts (unf),,25,1760530029,21,1760562337,0.19047619047619047
These will protect my feet.,4121,These will protect my feet.,50,Iron boots.png,4121,125,33,True,Iron boots,84,Iron boots,,2500,1760562539,100,1760560164,24.0
Blunt iron arrow... ouch.,4778,Blunt iron arrow... ouch.,6,Iron brutal 5.png,4778,11000,4,True,Iron brutal,10,Iron brutal,,164,1760560621,40,1760549426,3.1
A series of connected metal rings.,1101,A series of connected metal rings.,126,Iron chainbody.png,1101,125,84,False,Iron chainbody,210,Iron chainbody,,199,1760563331,106,1760563202,0.8773584905660378
A set of fighting claws.,3096,A set of fighting claws.,30,Iron claws.png,3096,125,20,True,Iron claws,50,Iron claws,,136,1760554269,135,1760414523,0.007407407407407408
An iron crossbow.,9177,An iron crossbow.,94,Iron crossbow.png,9177,125,62,True,Iron crossbow,157,Iron crossbow,,370,1760557827,1446,1760446490,-0.7441217150760719
An unstrung iron crossbow.,9457,An unstrung iron crossbow.,73,Iron crossbow (u).png,9457,10000,49,True,Iron crossbow (u),123,Iron crossbow (u),,76,1760283707,76,1760523106,0.0
Short but pointy.,1203,Short but pointy.,21,Iron dagger.png,1203,125,14,False,Iron dagger,35,Iron dagger,,19,1760563002,16,1760562108,0.1875
The blade is covered with poison.,1219,The blade is covered with poison.,21,Iron dagger(p).png,1219,125,14,True,Iron dagger(p),35,Iron dagger(p),,92,1760491288,96,1758217962,-0.041666666666666664
The blade is covered with poison.,5668,The blade is covered with poison.,21,Iron dagger(p+).png,5668,125,14,True,Iron dagger(p+),35,Iron dagger(p+),,500,1760215707,24,1746381664,19.833333333333332
Short but pointy.,5686,Short but pointy.,21,Iron dagger(p++).png,5686,125,14,True,Iron dagger(p++),35,Iron dagger(p++),,3050,1760559742,150,1760128456,19.333333333333332
A deadly throwing dart with an iron tip.,807,A deadly throwing dart with an iron tip.,1,Iron dart.png,807,7000,1,True,Iron dart,2,Iron dart,,13,1760563384,13,1760563425,0.0
A deadly poisoned dart with an iron tip.,813,A deadly poisoned dart with an iron tip.,1,Iron dart (p).png,813,7000,1,True,Iron dart (p),2,Iron dart (p),,1000,1760265507,55,1760333322,17.181818181818183
A deadly looking dart tip made of iron - needs feathers for flight.,820,A deadly looking dart tip made of iron - needs feathers for flight.,1,Iron dart tip.png,820,13000,1,True,Iron dart tip,3,Iron dart tip,,53,1760563224,53,1760558555,0.0
A deadly poisoned dart with an iron tip.,5629,A deadly poisoned dart with an iron tip.,1,Iron dart(p+).png,5629,7000,1,True,Iron dart(p+),2,Iron dart(p+),,1287,1756752534,48,1759605667,25.8125
A deadly poisoned dart with an iron tip.,5636,A deadly poisoned dart with an iron tip.,1,Iron dart(p++).png,5636,7000,1,True,Iron dart(p++),2,Iron dart(p++),,150,1757989805,126,1760558513,0.19047619047619047
Do I look scary?,12365,Do I look scary?,6000,Iron dragon mask.png,12365,4,4000,True,Iron dragon mask,10000,Iron dragon mask,,5169,1760504459,4500,1760562185,0.14866666666666667
A woodcutter's axe.,28199,A woodcutter's axe.,33,Iron felling axe.png,28199,,22,True,Iron felling axe,56,Iron felling axe,,1299995,1760395289,1005555,1760274119,0.29281342144387923
A full face helmet.,1153,A full face helmet.,92,Iron full helm.png,1153,125,61,False,Iron full helm,154,Iron full helm,,173,1760562763,105,1760561590,0.6476190476190476
Iron full helm with gold trim.,12241,Iron full helm with gold trim.,96,Iron full helm (g).png,12241,4,64,False,Iron full helm (g),160,Iron full helm (g),,174449,1760559293,155000,1760562121,0.12547741935483872
Iron full helm with trim.,12231,Iron full helm with trim.,96,Iron full helm (t).png,12231,4,64,False,Iron full helm (t),160,Iron full helm (t),,28990,1760562862,28912,1760562826,0.002697841726618705
"A set containing a full helm, platebody, legs and kiteshield.",12980,"A set containing a full helm, platebody, legs and kiteshield.",540,Iron gold-trimmed set (lg).png,12980,8,360,False,Iron gold-trimmed set (lg),900,Iron gold-trimmed set (lg),,469420,1760562961,432987,1760559807,0.08414340384353342
"A set containing a full helm, platebody, skirt and kiteshield.",12982,"A set containing a full helm, platebody, skirt and kiteshield.",540,Iron gold-trimmed set (sk).png,12982,8,360,False,Iron gold-trimmed set (sk),900,Iron gold-trimmed set (sk),,459995,1760559384,454387,1760542637,0.012341902387172168
An iron halberd.,3192,An iron halberd.,168,Iron halberd.png,3192,125,112,True,Iron halberd,280,Iron halberd,,922,1760559714,10,1760478304,91.2
"An iron-tipped, one-handed hasta.",11369,"An iron-tipped, one-handed hasta.",54,Iron hasta.png,11369,125,36,True,Iron hasta,91,Iron hasta,,12,1760473122,10,1760552913,0.2
"A poison-tipped, one-handed iron hasta.",11386,"A poison-tipped, one-handed iron hasta.",54,Iron hasta(p).png,11386,125,36,True,Iron hasta(p),91,Iron hasta(p),,2820,1756149378,4828,1743495581,-0.415907207953604
"A poison-tipped, one-handed iron hasta.",11389,"A poison-tipped, one-handed iron hasta.",54,Iron hasta(p+).png,11389,125,36,True,Iron hasta(p+),91,Iron hasta(p+),,1,1760369022,2,1755302204,-0.5
"A poison-tipped, one-handed iron hasta.",11391,"A poison-tipped, one-handed iron hasta.",54,Iron hasta(p++).png,11391,125,36,True,Iron hasta(p++),91,Iron hasta(p++),,20,1759872210,500,1758746539,-0.96
An iron tipped javelin.,826,An iron tipped javelin.,3,Iron javelin.png,826,7000,2,True,Iron javelin,6,Iron javelin,,3,1760560240,3,1760560363,0.0
Needs a shaft.,19572,Needs a shaft.,21,Iron javelin heads 5.png,19572,10000,14,True,Iron javelin heads,35,Iron javelin heads,,34,1760472376,35,1760533618,-0.02857142857142857
An iron tipped javelin.,832,An iron tipped javelin.,3,Iron javelin(p).png,832,7000,2,True,Iron javelin(p),6,Iron javelin(p),,6,1760019980,18,1752716901,-0.6666666666666666
An iron tipped javelin.,5643,An iron tipped javelin.,3,Iron javelin(p+).png,5643,7000,2,True,Iron javelin(p+),6,Iron javelin(p+),,1,1757338344,5156,1757681049,-0.9998060512024826
An iron tipped javelin.,5649,An iron tipped javelin.,3,Iron javelin(p++).png,5649,7000,2,True,Iron javelin(p++),6,Iron javelin(p++),,13,1756349557,216,1745960214,-0.9398148148148148
A large metal shield.,1191,A large metal shield.,142,Iron kiteshield.png,1191,125,95,False,Iron kiteshield,238,Iron kiteshield,,145,1760563380,41,1760562260,2.5365853658536586
Iron kiteshield with gold trim.,12243,Iron kiteshield with gold trim.,144,Iron kiteshield (g).png,12243,4,96,False,Iron kiteshield (g),240,Iron kiteshield (g),,53476,1760559300,48728,1760558019,0.09743884419635528
Iron kiteshield with trim.,12233,Iron kiteshield with trim.,144,Iron kiteshield (t).png,12233,4,96,False,Iron kiteshield (t),240,Iron kiteshield (t),,6150,1760562909,5000,1760556083,0.23
A finely balanced throwing knife.,863,A finely balanced throwing knife.,1,Iron knife.png,863,7000,1,True,Iron knife,3,Iron knife,,40,1760563266,39,1760563470,0.02564102564102564
A finely balanced throwing knife.,871,A finely balanced throwing knife.,1,Iron knife(p).png,871,7000,1,True,Iron knife(p),3,Iron knife(p),,50,1760207139,1000,1760332849,-0.95
A finely balanced throwing knife.,5655,A finely balanced throwing knife.,1,Iron knife(p+).png,5655,7000,1,True,Iron knife(p+),3,Iron knife(p+),,250,1760041732,626,1759493703,-0.6006389776357828
A finely balanced throwing knife.,5662,A finely balanced throwing knife.,1,Iron knife(p++).png,5662,7000,1,True,Iron knife(p++),3,Iron knife(p++),,1273,1760148701,101,1760313496,11.603960396039604
A pair of iron crossbow limbs.,9423,A pair of iron crossbow limbs.,42,Iron limbs.png,9423,10000,28,True,Iron limbs,70,Iron limbs,,82,1760460973,90,1760326518,-0.08888888888888889
A razor sharp longsword.,1293,A razor sharp longsword.,84,Iron longsword.png,1293,125,56,False,Iron longsword,140,Iron longsword,,20,1760561121,17,1760561666,0.17647058823529413
A spiky mace.,1420,A spiky mace.,37,Iron mace.png,1420,125,25,False,Iron mace,63,Iron mace,,3,1760547414,3,1760558988,0.0
A medium sized helmet.,1137,A medium sized helmet.,50,Iron med helm.png,1137,125,33,False,Iron med helm,84,Iron med helm,,240,1760562665,196,1760563112,0.22448979591836735
Keeps things in place fairly permanently.,4820,Keeps things in place fairly permanently.,2,Iron nails.png,4820,13000,1,True,Iron nails,4,Iron nails,,24,1760563410,25,1760562944,-0.04
This needs refining.,440,This needs refining.,10,Iron ore.png,440,13000,6,False,Iron ore,17,Iron ore,,121,1760563481,116,1760563476,0.04310344827586207
Used for mining.,1267,Used for mining.,84,Iron pickaxe.png,1267,40,56,False,Iron pickaxe,140,Iron pickaxe,,152,1760563450,120,1760562352,0.26666666666666666
Provides excellent protection.,1115,Provides excellent protection.,336,Iron platebody.png,1115,125,224,False,Iron platebody,560,Iron platebody,,88,1760563378,58,1760563226,0.5172413793103449
Iron platebody with gold trim.,12235,Iron platebody with gold trim.,336,Iron platebody (g).png,12235,4,224,False,Iron platebody (g),560,Iron platebody (g),,230000,1760559279,184055,1760563136,0.24962647034853713
Iron platebody with trim.,12225,Iron platebody with trim.,336,Iron platebody (t).png,12225,4,224,False,Iron platebody (t),560,Iron platebody (t),,35044,1760562462,33376,1760561107,0.049976030680728666
These look pretty heavy.,1067,These look pretty heavy.,168,Iron platelegs.png,1067,125,112,False,Iron platelegs,280,Iron platelegs,,250,1760563132,106,1760563195,1.3584905660377358
Iron platelegs with gold trim.,12237,Iron platelegs with gold trim.,168,Iron platelegs (g).png,12237,4,112,False,Iron platelegs (g),280,Iron platelegs (g),,54115,1760562160,30111,1760561125,0.7971837534455847
Iron platelegs with trim.,12227,Iron platelegs with trim.,168,Iron platelegs (t).png,12227,4,112,False,Iron platelegs (t),280,Iron platelegs (t),,6404,1760559317,5518,1760556320,0.16056542225444
Designer leg protection.,1081,Designer leg protection.,168,Iron plateskirt.png,1081,125,112,False,Iron plateskirt,280,Iron plateskirt,,370,1760563473,98,1760563130,2.7755102040816326
Iron plateskirt with gold trim.,12239,Iron plateskirt with gold trim.,168,Iron plateskirt (g).png,12239,4,112,False,Iron plateskirt (g),280,Iron plateskirt (g),,5531,1760558268,2203,1760559551,1.5106672719019518
